@RELATION Signal
@ATTRIBUTE time NUMERIC
@ATTRIBUTE frequency NUMERIC

@DATA
0,0.0328551790046724
1,0.0470792283890245
2,0.0543258518070723
3,0.0433912005991289
4,0.0476344675070981
5,0.0551881669151211
6,0.0528532079877366
7,0.0382542123092368
8,0.0489903095403022
9,0.0587874795478831
10,0.0668660824524473
13,0.039873988132836
14,0.0337477307336569
15,0.0466180998010164
16,0.0355389904250076
17,0.0285531573221101
18,0.0252219011510507
19,0.0278695234920734
20,0.0280557414249231
21,0.0379773380919239
22,0.0280510859520993
23,0.0357903287104218
24,0.035236705446115
25,0.0441367766147105
26,0.0447562013350723
27,0.0378105653534732
28,0.0379246195621903
29,0.0502419028470744
30,0.0576180002991659
31,0.0523044188237238
32,0.0585319947158089
33,0.052390128645639
34,0.0578060797820078
35,0.0590416916084971
36,0.0615197134261818
37,0.0539596219510569
38,0.0588679044716308
39,0.0431730410595983
40,0.0510563648153239
41,0.0393556217620874
42,0.043280260120337
44,0.0474361714423203
45,0.0319536467441408
46,0.0257337672342074
47,0.0283456972130779
48,0.032511662073418
49,0.0279773881209736
52,0.0301613924584917
53,0.0328529964438723
54,0.0363375793562771
56,0.0329241801064009
57,0.0331959383856174
58,0.0396526470182444
59,0.028417135513885
60,0.0206559590626368
61,0.0362396433600727
62,0.027521437218225
63,0.0243321090221747
64,0.0209132140677032
65,0.0215472681613551
66,0.0163167067171108
67,0.0185371177388138
68,0.0128501109348879
69,0.0194053856827418
70,0.0136075085736473
71,0.0107650674670026
73,0.0082074247250793
74,0.0102977934653322
76,0.0107751529379123
77,0.0130717304514575
78,0.0152427980264395
79,0.0126625721099141
80,0.0156339846191325
82,0.0137636353217981
83,0.0205490770297725
84,0.0264687387851186
86,0.0320003334537303
87,0.0232347936090125
89,0.0279289895223962
90,0.0229776934844606
91,0.0343377386052557
92,0.0247287714601166
93,0.0214029371857558
95,0.0265896486147229
96,0.0208046519206113
98,0.0381722920983522
99,0.0288200805342559
100,0.0366804935148324
101,0.0416474659723408
102,0.0557223275449917
103,0.0652266145759598
104,0.0481250516899165
105,0.0425810198884501
107,0.0427008127654818
108,0.0323412590324651
109,0.0538697597279801
110,0.0426865550022389
111,0.0325316208577032
113,0.034292408257262
114,0.0343150584608665
115,0.0299680501991424
116,0.0198019051838971
117,0.0191567103649528
118,0.0274505415422185
119,0.0313705539728075
120,0.0327008206349065
121,0.0307141581494247
122,0.0373095378837704
123,0.0370478228239398
125,0.0356445627034378
126,0.0416027408595441
127,0.0428710372189087
128,0.0456605410858287
130,0.0383112048004244
