@RELATION Signal
@ATTRIBUTE time NUMERIC
@ATTRIBUTE frequency NUMERIC

@DATA
0,0.211071972866135
1,0.297330137544747
2,0.23321256611586
3,0.168607949714943
4,0.131845757636736
5,0.179566833108746
6,0.165064318371289
7,0.215591814021133
8,0.17820469818024
9,0.307020072753323
10,0.353666768889878
11,0.281576420315203
19,0.0856730502521684
20,0.125556773651508
21,0.0920136450465669
22,0.107051047816571
23,0.131459985730816
24,0.135620456691297
25,0.151303556605334
26,0.141244891098798
27,0.133089874291708
28,0.178757968411412
29,0.176344083436514
32,0.0920960393922006
33,0.0879179467493974
35,0.0468801410736862
36,0.13571349931488
37,0.123093139474581
38,0.149426261063649
39,0.144667668152974
40,0.245843466671336
41,0.423406778075165
42,0.521103032149629
43,0.412115998441785
44,0.129224589724756
46,0.299737288178644
47,0.286702025661433
49,0.124975184471884
50,0.257100509691218
51,0.156971667533409
53,0.123525880078381
54,0.130906919326062
56,0.111841628869566
57,0.116280252292203
59,0.090707812417393
